iter	Passed	Remaining
0	2	205
1	3	165
2	4	142
3	5	131
4	6	130
5	7	123
6	9	120
7	10	115
8	11	112
9	12	110
10	13	111
11	14	108
12	15	106
13	16	103
14	17	101
15	19	100
16	20	99
17	21	97
18	22	95
19	23	94
20	24	92
21	26	92
22	27	90
23	28	89
24	29	88
25	30	86
26	31	86
27	33	84
28	34	84
29	35	83
30	36	81
31	37	80
32	39	79
33	40	78
34	41	77
35	42	75
36	43	74
37	44	73
38	45	71
39	47	70
40	48	69
41	48	67
42	50	66
43	51	65
44	52	64
45	53	63
46	54	61
47	56	60
48	57	59
49	58	58
50	59	57
51	61	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	49
57	67	48
58	68	47
59	69	46
60	71	45
61	72	44
62	73	43
63	74	42
64	76	40
65	77	39
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	89	28
76	90	26
77	91	25
78	92	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	101	16
86	102	15
87	103	14
88	105	13
89	106	11
90	108	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	116	2
98	117	1
99	119	0
